rank,music,main_artist,year,featuring1,featuring2,photo
59,Brokenhearted,Karmin,2012,,,https://charts-static.billboard.com/img/2012/03/karmin-2rq-53x53.jpg
60,Not Over You,Gavin DeGraw,2012,,,https://charts-static.billboard.com/img/2011/06/gavin-degraw-n1q-53x53.jpg
61,Stereo Hearts,Gym Class Heroes,2012,Adam Levine,,https://charts-static.billboard.com/img/2011/07/gym-class-heroes-w0q-53x53.jpg
62,Back In Time,Pitbull,2012,,,https://charts-static.billboard.com/img/2012/04/pitbull-odu-53x53.jpg
63,Work Out,J. Cole,2012,,,https://charts-static.billboard.com/img/2011/07/j-cole-s1s-53x53.jpg
64,Rumour Has It,Adele,2012,,,https://charts-static.billboard.com/img/2008/02/adele-hdy-87x87.jpg
65,Let's Go,Calvin Harris,2012,Ne-Yo,,https://charts-static.billboard.com/img/2012/04/calvin-harris-s9n-53x53.jpg
66,Good Girl,Carrie Underwood,2012,,,https://charts-static.billboard.com/img/2012/03/carrie-underwood-pka-53x53.jpg
67,Pontoon,Little Big Town,2012,,,https://charts-static.billboard.com/img/2012/05/little-big-town-z2a-53x53.jpg
68,Ho Hey,The Lumineers,2012,,,https://charts-static.billboard.com/img/2012/04/the-lumineers-e8y-53x53.jpg
69,Paradise,Coldplay,2012,,,https://charts-static.billboard.com/img/2011/10/coldplay-j2u-53x53.jpg
70,Blown Away,Carrie Underwood,2012,,,https://charts-static.billboard.com/img/2012/05/carrie-underwood-pka-blown-away-pjk-53x53.jpg
71,Rolling In The Deep,Adele,2012,,,https://charts-static.billboard.com/img/2010/12/adele-ee3-53x53.jpg
72,Climax,Usher,2012,,,https://charts-static.billboard.com/img/2012/02/usher-oqp-53x53.jpg
73,"Work Hard, Play Hard",Wiz Khalifa,2012,,,https://charts-static.billboard.com/img/2012/05/wiz-khalifa-b1e-53x53.jpg
74,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012,,,https://charts-static.billboard.com/img/2012/08/ne-yo-9u2-53x53.jpg
75,Pound The Alarm,Nicki Minaj,2012,,,https://charts-static.billboard.com/img/2012/04/nicki-minaj-thi-53x53.jpg
76,Come Over,Kenny Chesney,2012,,,https://charts-static.billboard.com/img/2017/06/kenny-chesney-53x53.jpg
77,Heart Attack,Trey Songz,2012,,,https://charts-static.billboard.com/img/2012/04/trey-songz-kc8-53x53.jpg
78,Drank In My Cup,Kirko Bangz,2012,,,https://charts-static.billboard.com/img/2011/08/kirko-bangz-t42-53x53.jpg
79,Birthday Cake,Rihanna,2012,Chris Brown,,https://charts-static.billboard.com/img/2011/12/rihanna-v3t-53x53.jpg
80,So Good,B.o.B,2012,,,https://charts-static.billboard.com/img/2012/03/bob-1-t7h-53x53.jpg
81,50 Ways To Say Goodbye,Train,2012,,,https://charts-static.billboard.com/img/2012/06/train-z35-53x53.jpg
82,Red Solo Cup,Toby Keith,2012,,,https://charts-static.billboard.com/img/2011/10/toby-keith-5au-53x53.jpg
83,Love You Like A Love Song,Selena Gomez,2012,The Scene,,https://charts-static.billboard.com/img/2011/07/selena-gomez-nxt-love-you-like-a-love-song-cgw-53x53.jpg
84,Turn Up The Music,Chris Brown,2012,,,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg
85,Die Young,Ke$ha,2012,,,https://charts-static.billboard.com/img/1840/12/kesha-iom-53x53.jpg
86,5 O'Clock,T-Pain,2012,Wiz Khalifa,Lily Allen,https://charts-static.billboard.com/img/2011/10/t-pain-kj8-53x53.jpg
87,A Thousand Years,Christina Perri,2012,,,https://charts-static.billboard.com/img/2011/11/christina-perri-vd0-53x53.jpg
88,Take A Little Ride,Jason Aldean,2012,,,https://charts-static.billboard.com/img/2012/07/jason-aldean-sa0-53x53.jpg
89,You Da One,Rihanna,2012,,,https://charts-static.billboard.com/img/2011/11/rihanna-t38-53x53.jpg
90,We Run The Night,Havana Brown,2012,Pitbull,,https://charts-static.billboard.com/img/2011/12/havana-brown-7a1-53x53.jpg
91,It's Time,Imagine Dragons,2012,,,https://charts-static.billboard.com/img/2012/03/imagine-dragons-wca-53x53.jpg
92,Cashin' Out,Ca$h Out,2012,,,https://charts-static.billboard.com/img/2012/01/cah-out-fvz-53x53.jpg
93,I Don't Want This Night To End,Luke Bryan,2012,,,https://charts-static.billboard.com/img/2011/08/luke-bryan-kl4-53x53.jpg
94,Diamonds,Rihanna,2012,,,https://charts-static.billboard.com/img/2005/06/rihanna-t38-53x53.jpg
95,Hard To Love,Lee Brice,2012,,,https://charts-static.billboard.com/img/2012/05/lee-brice-vbm-53x53.jpg
96,Somethin' 'Bout A Truck,Kip Moore,2012,,,https://charts-static.billboard.com/img/2011/10/kip-moore-fzz-53x53.jpg
97,Adorn,Miguel,2012,,,https://charts-static.billboard.com/img/1840/12/miguel-y6r-53x53.jpg
98,Fly Over States,Jason Aldean,2012,,,https://charts-static.billboard.com/img/2012/01/jason-aldean-jfn-53x53.jpg
99,Even If It Breaks Your Heart,Eli Young Band,2012,,,https://charts-static.billboard.com/img/2011/12/eli-young-band-8g9-53x53.jpg
100,Burn It Down,Linkin Park,2012,,,https://charts-static.billboard.com/img/2012/05/linkin-park-brd-53x53.jpg
1,Thrift Shop,Macklemore,2013,Ryan Lewis,Wanz,https://charts-static.billboard.com/img/2016/11/macklemore-ryan-lewis-53x53.jpg
2,Blurred Lines,Robin Thicke,2013,T.I. + Pharrell,,https://charts-static.billboard.com/img/2013/04/robin-thicke-cu8-53x53.jpg
3,Radioactive,Imagine Dragons,2013,,,https://charts-static.billboard.com/img/2012/08/imagine-dragons-hy6-53x53.jpg
4,Harlem Shake,Baauer,2013,,,https://charts-static.billboard.com/img/2013/02/baauer-fjy-53x53.jpg
5,Can't Hold Us,Macklemore,2013,Ryan Lewis,Ray Dalton,https://charts-static.billboard.com/img/2016/11/macklemore-ryan-lewis-53x53.jpg
6,Mirrors,Justin Timberlake,2013,,,https://charts-static.billboard.com/img/2017/01/justin-timberlake-53x53.jpg
7,Just Give Me A Reason,P!nk,2013,Nate Ruess,,https://charts-static.billboard.com/img/2012/10/pnk-u9h-just-give-me-a-reason-vz3-53x53.jpg
8,When I Was Your Man,Bruno Mars,2013,,,https://charts-static.billboard.com/img/2012/12/bruno-mars-va7-53x53.jpg
